Mã môn,Tên Môn học,Số tín chỉ,Điểm quá trình,Điểm thi,Tổng kết,Hệ chữ (4),Trạng thái
COM1071,Tin học,3,0,0,6.5,B-,Đạt
VIE103,Giáo dục thể chất - Vovinam,3,0,0,5.9,C,Đạt
PDP102,Kỹ năng học tập,2,0,0,7.5,B+,Đạt
COM108,Nhập môn lập trình,3,0,0,5.9,C,Đạt
ITI101,Nhập môn công nghệ thông tin,3,0,0,8.6,A,Đạt
ENT1128,Tiếng Anh 1.1,3,0,0,8.1,A-,Đạt
COM2012,Cơ sở dữ liệu,3,0,0,0.3,F,Trượt
WEB1013,Xây dựng trang Web,3,0,0,6.0,C+,Đạt
ENT123,Tiếng Anh 1.2,3,0,0,7.5,B+,Đạt
WEB1043,Lập trình cơ sở với JavaScript,3,0,0,1.1,F,Trượt
WEB108,Lập trình PHP cơ bản,3,0,0,1.8,F,Trượt
VIE108,Chính trị,5,0,0,0.0,—,Chưa học
ENT213,Tiếng Anh 2.1,3,0,0,5.6,C,Đạt
WEB3023,Thiết kế Web với HTML5&CSS3,3,0,0,5.5,C,Đạt
WEB2014,Lập trình PHP 1,3,0,0,6.0,C+,Đạt
PDP103,Kỹ năng phát triển bản thân,2,0,0,7.0,B,Đạt
WEB105,Thiết kế UI/UX,3,0,0,5.6,C,Đạt
WEB2041,Dự án mẫu (TKTW),3,0,0,6.0,C+,Đạt
ENT223,Tiếng Anh 2.2,3,0,0,7.4,B,Đạt
WEB1023,Quản trị website,3,0,0,7.5,B+,Đạt
WEB2055,Marketing trên Internet,3,0,0,5.6,C,Đạt
WEB501,Lập trình ECMAScript,3,0,0,5.3,C-,Đạt
WEB206,Lập trình Javascript nâng cao,3,0,0,0.0,—,Chưa học
PRO1014,Dự án 1 (TKTW),3,0,0,2.7,F,Trượt
WEB503,NodeJS & Restful Web Service,3,0,0,2.5,F,Trượt
WEB502,Lập trình TypeScript,3,0,0,3.1,F,Trượt
PDP104,Kỹ năng làm việc,2,0,0,0.0,—,Chưa học
SYB3013,Khởi sự doanh nghiệp,3,0,0,6.8,B-,Đạt
WEB2081,Lập trình Front-End Framework 1,3,0,0,2.0,F,Trượt
WEB2091,Lập trình Front-End Framework 2,3,0,0,1.5,F,Trượt
VIE104,Giáo dục quốc phòng,4,0,0,5.5,C,Đạt
VIE102,Pháp luật,2,0,0,0.0,—,Chưa học
PRO11,Thực tập tốt nghiệp,5,0,0,0.0,—,Chưa học
PRO22,Dự án tốt nghiệp,5,0,0,0.0,—,Chưa học
